Dataset,Dataset_Size,Model,labellingType,NumberOfTopic,Computation_Time,AddedTime,npmiScore,coherenceCvScore,topic_diversityScore,TopicQuality
cybertweets,21369,BERTopic,-,20,111.14509987831116,,0.2278859775620179,0.6532174469643861,0.8526315789473684,0.5569538232012134
cybertweets,21369,BERTopic,-,30,109.77701330184937,,0.2356663168802546,0.649776014,0.8793103448275862,0.571354771
cybertweets,21369,BERTopic,-,40,114.1409375667572,,0.200490349,0.6022568999154168,0.9025641025641026,0.5435754583851967
cybertweets,21369,BERTopic,-,50,111.17272567749023,,0.2088163127553567,0.6124950597282534,0.8591836734693877,0.5262457553991727
cybertweets,21369,BERTopic,-,60,101.49928855895996,,0.2070630605142027,0.6012460029645327,0.8694915254237288,0.5227783042725512
cybertweets,21369,BERTopic,-,70,104.62167501449584,,0.2151533895721274,0.6158533302287295,0.88115942,0.5426649634479239
cybertweets,21369,BERTopic,-,80,105.13813591003418,,0.2413035876693003,0.6614320074787337,0.8721518987341772,0.5768691812061361
cybertweets,21369,BERTopic,-,90,108.2722189426422,,0.2211930394769049,0.6292296858444115,0.8696629213483146,0.5472177267905332
cybertweets,21369,BERTopic,-,100,112.76647734642027,,0.2150604408660278,0.615382473,0.8656565656565657,0.5327098777883007
cybertweets,21369,BERTopic,-,110,112.3868088722229,,0.2189513499364845,0.6225591120715304,0.8605504587155963,0.5357435294707298
cybertweets,21369,BERTopic,-,120,111.5213541984558,,0.1938486743873284,0.6054735592488437,0.8504201680672269,0.5149069260166638
cybertweets,21369,BERTopic,-,130,106.95468187332152,,0.1935541281759567,0.6102736057893174,0.8496124031007752,0.5184960247636372
cybertweets,21369,BERTopic,-,140,102.04881358146667,,0.2177522814230583,0.6225422531098449,0.8338129496402877,0.5190837923412304
cybertweets,21369,BERTopic,-,150,106.9718940258026,,0.2162198319004648,0.6327517865933406,0.8295302013422818,0.5248867169324624
cybertweets,21369,UBERTopic,-,20,1550.4896688461304,,0.2247984859308357,0.6168149489783046,0.868421053,0.5356550872706329
cybertweets,21369,UBERTopic,-,30,1498.6479697227478,,0.2223219989013455,0.6099540402853995,0.896551724,0.5468553464627719
cybertweets,21369,UBERTopic,-,40,1818.747584104538,,0.20897744,0.5990740255631466,0.8769230769230769,0.5253418378015285
cybertweets,21369,UBERTopic,-,50,1529.6370768547058,,0.2133843169246808,0.6102529076013653,0.8693877551020408,0.5305464053840441
cybertweets,21369,UBERTopic,-,60,1629.5576152801514,,0.2029419733612068,0.5922246747367339,0.8762711864406779,0.5189494183710024
cybertweets,21369,UBERTopic,-,70,1658.4255592823029,,0.2218729936576499,0.6308441760171446,0.863768116,0.5449030853713307
cybertweets,21369,UBERTopic,-,80,1643.0483210086825,,0.226402496,0.6358598111598346,0.8658227848101265,0.5505419124472491
cybertweets,21369,UBERTopic,-,90,1637.9415004253387,,0.204434104,0.601908022,0.8674157303370786,0.5221044866866164
cybertweets,21369,UBERTopic,-,100,1779.4523446559906,,0.2167971962927412,0.6284519594150391,0.8757575757575757,0.550371564
cybertweets,21369,UBERTopic,-,110,1623.1666524410248,,0.1923678448526708,0.5994951222494289,0.8550458715596331,0.5125958292995118
cybertweets,21369,UBERTopic,-,120,1772.1157445907593,,0.2060669703621346,0.6149634625784189,0.853781513,0.5250444352770367
cybertweets,21369,UBERTopic,-,130,1738.675590276718,,0.1982800334621598,0.6099774837735942,0.837984496,0.5111516743870196
cybertweets,21369,UBERTopic,-,140,1506.6681859493256,,0.2050839248807232,0.614804885,0.8424460431654677,0.5179399427484461
cybertweets,21369,UBERTopic,-,150,1459.420559644699,,0.213775139,0.6219828742878828,0.8369127516778524,0.5205453988167718
cybertweets,21369,CTM,-,20,169.8047833442688,,0.07929947,0.5765600150161178,0.865,0.4987244129889419
cybertweets,21369,CTM,-,30,112.74011611938477,,0.113134554,0.5805904982350797,0.81,0.4702783035704145
cybertweets,21369,CTM,-,40,239.6201682,,0.055360243,0.5506072869827098,0.85,0.4680161939353033
cybertweets,21369,CTM,-,50,177.57629799842834,,0.071805297,0.5795203843722044,0.792,0.4589801444227859
cybertweets,21369,CTM,-,60,241.3385279,,0.074528278,0.5669112809702921,0.7666666666666667,0.434631982
cybertweets,21369,CTM,-,70,150.31505393981934,,0.116677217,0.6014490860140945,0.6514285714285715,0.3918011188891816
cybertweets,21369,CTM,-,80,130.67775106430054,,0.097300719,0.5928863377768735,0.58625,0.3475796155216921
cybertweets,21369,CTM,-,90,111.75386929512024,,0.137379228,0.617953497,0.5011111111111111,0.3096633636165635
cybertweets,21369,CTM,-,100,121.35700702667236,,0.1085563875738043,0.6078783723922198,0.503,0.3057628213132865
cybertweets,21369,CTM,-,110,131.90821146965027,,0.1270450766373699,0.6072567926433127,0.4645454545454545,0.2820983827643025
cybertweets,21369,CTM,-,120,92.95861006,,0.08545928,0.5772696793487052,0.4208333333333333,0.2429343233925801
cybertweets,21369,CTM,-,130,148.00527238845825,,0.1228978121581543,0.6121267097622226,0.4046153846153846,0.2476758841037916
cybertweets,21369,CTM,-,140,123.41093969345091,,0.1051566868998509,0.5924488977776532,0.4035714285714286,0.2390954480316957
cybertweets,21369,CTM,-,150,89.68068957328796,,0.1225750716763748,0.6011405165883632,0.3633333333333333,0.2184143876937719
cybertweets,21369,LDA,-,20,10.229679822921751,,0.056680016,0.49032194,0.555,0.2721286769219467
cybertweets,21369,LDA,-,30,10.234245777130129,,0.067806783,0.5241106278972432,0.5166666666666667,0.2707904910802423
cybertweets,21369,LDA,-,40,11.768055200576782,,0.02295108,0.4591230783078958,0.5025,0.2307093468497176
cybertweets,21369,LDA,-,50,11.82375979423523,,0.013303998,0.4661953431752878,0.552,0.2573398294327589
cybertweets,21369,LDA,-,60,12.462281465530396,,0.034723097,0.4908770752484768,0.59,0.2896174743966013
cybertweets,21369,LDA,-,70,13.395821571350098,,-0.021635086,0.424702253,0.5757142857142857,0.2445071539804193
cybertweets,21369,LDA,-,80,19.151791095733643,,0.012263261,0.4652302811686847,0.55375,0.2576212681971591
cybertweets,21369,LDA,-,90,22.54843688011169,,-0.011763624,0.438353544,0.57,0.2498615203479182
cybertweets,21369,LDA,-,100,18.22982907295227,,0.015607145,0.4671730535140077,0.558,0.2606825638608163
cybertweets,21369,LDA,-,110,15.901292324066162,,-0.004213664,0.4416886781817317,0.5654545454545454,0.2497548707536701
cybertweets,21369,LDA,-,120,17.574055671691895,,-0.029049902,0.4285283247950679,0.5891666666666666,0.2524746046917608
cybertweets,21369,LDA,-,130,17.239808082580566,,-0.029288909,0.4276819584239886,0.5707692307692308,0.2441077024235381
cybertweets,21369,LDA,-,140,18.58097743988037,,-0.021439143,0.432684653,0.5771428571428572,0.2497208568224617
cybertweets,21369,LDA,-,150,18.61674213409424,,-0.052968555,0.42230134,0.5873333333333334,0.24803165379383194